Date,High,Low,Open,Status,DateTime,year,month,day,30d_avg,Std,RSI,Williams %R
03/10/2016,640.0,640.0,640.0,1,2016-03-10,2016,3,10,589.4666666666667,13.291774312256361,69.76495294082665,-0.0
03/13/2016,706.0,706.0,706.0,1,2016-03-13,2016,3,13,593.5666666666667,25.022311882681123,79.54782862169407,-0.0
03/14/2016,715.0,715.0,715.0,1,2016-03-14,2016,3,14,597.2333333333333,33.40935583742085,80.47555078955098,-0.0
03/15/2016,666.0,666.0,666.0,-1,2016-03-15,2016,3,15,599.6,35.68308785154154,63.568780717253745,-37.69230769230769
03/16/2016,662.0,662.0,662.0,-1,2016-03-16,2016,3,16,601.8333333333334,37.43876225972718,62.416014300534016,-42.4
03/17/2016,670.0,670.0,670.0,1,2016-03-17,2016,3,17,604.8333333333334,39.19366885303111,63.82879605537318,-42.857142857142854
03/20/2016,664.0,664.0,664.0,-1,2016-03-20,2016,3,20,607.3,40.533638648277154,61.9479841348521,-68.0
03/21/2016,663.0,663.0,663.0,-1,2016-03-21,2016,3,21,610.2666666666667,41.262768835284966,61.622073556537174,-98.11320754716981
03/23/2016,650.0,650.0,650.0,-1,2016-03-23,2016,3,23,612.4333333333333,41.59549323510186,57.39469566751865,-100.0
03/24/2016,653.0,653.0,653.0,1,2016-03-24,2016,3,24,614.8666666666667,41.76761105609793,58.108894556326874,-85.0
03/27/2016,655.0,655.0,655.0,1,2016-03-27,2016,3,27,617.3666666666667,41.85317796472888,58.60706181135406,-75.0
03/28/2016,673.0,673.0,673.0,1,2016-03-28,2016,3,28,620.1666666666666,42.69142151843281,62.88496033580575,-0.0
03/29/2016,671.0,671.0,671.0,-1,2016-03-29,2016,3,29,622.7,43.39565368352953,62.116793721443486,-8.695652173913043
03/30/2016,669.0,669.0,669.0,-1,2016-03-30,2016,3,30,625.3333333333334,43.738512449150676,61.310252763341545,-17.391304347826086
03/31/2016,665.0,665.0,665.0,-1,2016-03-31,2016,3,31,628.5333333333333,42.980134411413026,59.64228987183753,-34.78260869565217
04/03/2016,658.0,658.0,658.0,-1,2016-04-03,2016,4,3,631.4666666666667,41.8352543406547,56.73347937498745,-75.0
04/04/2016,670.0,670.0,670.0,1,2016-04-04,2016,4,4,634.1333333333333,41.65021284321606,60.30735208962301,-16.666666666666668
04/05/2016,670.0,670.0,670.0,0,2016-04-05,2016,4,5,637.2666666666667,40.64983635148415,60.30735208962301,-20.0
